raw,canonical,method,score,at
PicMa Studio,PicMa Studio,passthrough,52.6,2026-08-27T12:51:34Z
Aithor,Aithor,passthrough,58.8,2026-08-27T12:51:34Z
Voibe,Voibe,passthrough,60.0,2026-08-27T12:51:34Z
Vsub,Vsub,passthrough,50.0,2026-08-27T12:51:34Z
Socratic by Google,Socratic by Google,passthrough,57.1,2026-08-27T12:51:34Z
Lumiere 3D,Lumiere 3D,passthrough,47.1,2026-08-27T12:51:34Z
NanaImage,NanaImage,passthrough,50.0,2026-08-27T12:51:34Z
Chromox,Chromox,passthrough,76.9,2026-08-27T12:51:34Z
MyEssayWriter.ai,MyEssayWriter.ai,passthrough,57.1,2026-08-27T12:51:34Z
BrandScreen,BrandScreen,passthrough,52.6,2026-08-27T12:51:34Z
Munch Studio,Munch Studio,passthrough,45.5,2026-08-27T12:51:34Z
Create,Create,passthrough,66.7,2026-08-27T12:51:34Z
CreativAI,CreativAI,passthrough,62.5,2026-08-27T12:51:34Z
Charisma,Charisma,passthrough,71.4,2026-08-27T12:51:34Z
Collov AI,Collov AI,passthrough,66.7,2026-08-27T12:51:34Z
ThumbnailCreator.com,ThumbnailCreator.com,passthrough,52.9,2026-08-27T12:51:34Z
Topaz Labs,Topaz Labs,passthrough,70.0,2026-08-27T12:51:34Z
Pollinations,Pollinations,passthrough,54.5,2026-08-27T12:51:34Z
Spellbook,Spellbook,passthrough,45.5,2026-08-27T12:51:34Z
Elephant,Elephant,passthrough,61.5,2026-08-27T12:51:34Z
Vmaker AI,Vmaker AI,passthrough,66.7,2026-08-27T12:51:34Z
Videoleap,Videoleap,passthrough,50.0,2026-08-27T12:51:34Z
Axion Ray,Axion Ray,passthrough,66.7,2026-08-27T12:51:34Z
UGO,UGO,passthrough,57.1,2026-08-27T12:51:34Z
Penelope AI,Penelope AI,passthrough,66.7,2026-08-27T12:51:34Z
Suno,Suno,exact,100.0,2026-08-27T12:51:34Z
Komo Search,Komo Search,passthrough,40.0,2026-08-27T12:51:34Z
Niomake,Niomake,passthrough,50.0,2026-08-27T12:51:34Z
Meta AI,Meta AI,passthrough,71.4,2026-08-27T12:51:34Z
Sudowrite,Sudowrite,passthrough,47.1,2026-08-27T12:51:34Z
CharacterX,CharacterX,passthrough,85.7,2026-08-27T12:51:34Z
InteriorAI,InteriorAI,passthrough,60.9,2026-08-27T12:51:34Z
Mindflow,Mindflow,passthrough,55.6,2026-08-27T12:51:34Z
HAPPYROBOT,HAPPYROBOT,passthrough,44.4,2026-08-27T12:51:34Z
Kaiber,Kaiber,passthrough,54.5,2026-08-27T12:51:34Z
Grammarly,Grammarly,passthrough,47.1,2026-08-27T12:51:34Z
Proposal Genie,Proposal Genie,passthrough,45.5,2026-08-27T12:51:34Z
Cleanup.pictures,Cleanup.pictures,passthrough,48.0,2026-08-27T12:51:34Z
Vidnoz,Vidnoz,passthrough,46.2,2026-08-27T12:51:34Z
Trickle AI,Trickle AI,passthrough,66.7,2026-08-27T12:51:34Z
SearchCans,SearchCans,passthrough,52.6,2026-08-27T12:51:34Z
Google Earth Studio,Google Earth Studio,passthrough,57.1,2026-08-27T12:51:34Z
Moxo,Moxo,passthrough,46.2,2026-08-27T12:51:34Z
Capafy,Capafy,passthrough,50.0,2026-08-27T12:51:34Z
Microsoft Translator,Microsoft Translator,passthrough,55.2,2026-08-27T12:51:34Z
Voctiv,Voctiv,passthrough,40.0,2026-08-27T12:51:34Z
EducatorLab,EducatorLab,passthrough,47.6,2026-08-27T12:51:34Z
Arini,Arini,passthrough,58.8,2026-08-27T12:51:34Z
TattoosAI,TattoosAI,passthrough,50.0,2026-08-27T12:51:34Z
SalesCloser AI,SalesCloser AI,passthrough,66.7,2026-08-27T12:51:34Z
GiftHuntr,GiftHuntr,passthrough,47.1,2026-08-27T12:51:34Z
Cabina AI,Cabina AI,passthrough,66.7,2026-08-27T12:51:34Z
Tenorshare AI,Tenorshare AI,passthrough,66.7,2026-08-27T12:51:34Z
YouWare,YouWare,passthrough,50.0,2026-08-27T12:51:34Z
MolyPix.AI,MolyPix.AI,passthrough,58.8,2026-08-27T12:51:34Z
Quick Creator,Quick Creator,passthrough,52.2,2026-08-27T12:51:34Z
Questie AI,Questie AI,passthrough,66.7,2026-08-27T12:51:34Z
Descript,Descript,passthrough,61.5,2026-08-27T12:51:34Z
Alphastream,Alphastream,passthrough,57.1,2026-08-27T12:51:34Z
Ninjachat AI,Ninjachat AI,passthrough,66.7,2026-08-27T12:51:34Z
aiOS,aiOS,passthrough,57.1,2026-08-27T12:51:34Z
Autodraft,Autodraft,passthrough,53.3,2026-08-27T12:51:34Z
Align AI,Align AI,passthrough,66.7,2026-08-27T12:51:34Z
Renamer.ai,Renamer.ai,passthrough,70.6,2026-08-27T12:51:34Z
Booke AI,Booke AI,passthrough,66.7,2026-08-27T12:51:34Z
Blaze,Blaze,passthrough,44.4,2026-08-27T12:51:34Z
Jeffrey Celavie,Jeffrey Celavie,passthrough,50.0,2026-08-27T12:51:34Z
Deep Realms,Deep Realms,passthrough,58.3,2026-08-27T12:51:34Z
Chatling,Chatling,passthrough,66.7,2026-08-27T12:51:34Z
Inner AI,Inner AI,passthrough,66.7,2026-08-27T12:51:34Z
Sully AI,Sully AI,passthrough,66.7,2026-08-27T12:51:34Z
Cron AI,Cron AI,passthrough,75.0,2026-08-27T12:51:34Z
WriteHuman,WriteHuman,passthrough,47.1,2026-08-27T12:51:34Z
ON1 Photo RAW,ON1 Photo RAW,passthrough,42.1,2026-08-27T12:51:34Z
Moonshot AI,Moonshot AI,passthrough,66.7,2026-08-27T12:51:34Z
GoEnhance AI,GoEnhance AI,passthrough,66.7,2026-08-27T12:51:34Z
Respan,Respan,passthrough,60.0,2026-08-27T12:51:34Z
Dezgo,Dezgo,passthrough,44.4,2026-08-27T12:51:34Z
Finster AI,Finster AI,passthrough,70.0,2026-08-27T12:51:34Z
Freebeat,Freebeat,passthrough,50.0,2026-08-27T12:51:34Z
10Web,10Web,passthrough,50.0,2026-08-27T12:51:34Z
Gumloop,Gumloop,passthrough,40.0,2026-08-27T12:51:34Z
PDF Flex,PDF Flex,passthrough,42.1,2026-08-27T12:51:34Z
DeepL Translator,DeepL Translator,passthrough,50.0,2026-08-27T12:51:34Z
Retell AI,Retell AI,passthrough,66.7,2026-08-27T12:51:34Z
Sibyl AI,Sibyl AI,passthrough,66.7,2026-08-27T12:51:34Z
Dispute Panda,Dispute Panda,passthrough,47.6,2026-08-27T12:51:34Z
ViSenze,ViSenze,passthrough,53.3,2026-08-27T12:51:34Z
MokSa.AI,MokSa.AI,passthrough,66.7,2026-08-27T12:51:34Z
AI Email Writer,AI Email Writer,passthrough,66.7,2026-08-27T12:51:34Z
LLMStack,LLMStack,passthrough,53.3,2026-08-27T12:51:34Z
Deduction,Deduction,passthrough,63.2,2026-08-27T12:51:34Z
Kits AI,Kits AI,passthrough,66.7,2026-08-27T12:51:34Z
GPTBots,GPTBots,passthrough,40.0,2026-08-27T12:51:34Z
Transcript.LOL,Transcript.LOL,passthrough,46.2,2026-08-27T12:51:34Z
AI Photo Filter,AI Photo Filter,passthrough,66.7,2026-08-27T12:51:34Z
Vertech Academy,Vertech Academy,passthrough,46.2,2026-08-27T12:51:34Z
Dataspot,Dataspot,passthrough,55.6,2026-08-27T12:51:34Z
Turnitin,Turnitin,passthrough,53.3,2026-08-27T12:51:34Z
BigIdeasDB,BigIdeasDB,passthrough,42.1,2026-08-27T12:51:34Z
Fluid Topics,Fluid Topics,passthrough,47.6,2026-08-27T12:51:34Z
Recall,Recall,passthrough,60.0,2026-08-27T12:51:34Z
Bytemine,Bytemine,passthrough,53.3,2026-08-27T12:51:34Z
Dzine AI,Dzine AI,passthrough,66.7,2026-08-27T12:51:34Z
Vimerse Studio,Vimerse Studio,passthrough,43.5,2026-08-27T12:51:34Z
Genspark.ai,Genspark.ai,passthrough,60.0,2026-08-27T12:51:34Z
RoomGPT,RoomGPT,passthrough,53.3,2026-08-27T12:51:34Z
DetectGPT,DetectGPT,passthrough,57.1,2026-08-27T12:51:34Z
Rendernet,Rendernet,passthrough,53.3,2026-08-27T12:51:34Z
eesel AI,eesel AI,passthrough,66.7,2026-08-27T12:51:34Z
GPTExcel,GPTExcel,passthrough,58.8,2026-08-27T12:51:34Z
Excel Formula Bot,Excel Formula Bot,passthrough,38.5,2026-08-27T12:51:34Z
Magic School AI,Magic School AI,passthrough,66.7,2026-08-27T12:51:34Z
WPTurbo,WPTurbo,passthrough,46.2,2026-08-27T12:51:34Z
E2B,E2B,passthrough,36.4,2026-08-27T12:51:34Z
echowin,echowin,passthrough,53.3,2026-08-27T12:51:34Z
vivago.ai,vivago.ai,passthrough,57.1,2026-08-27T12:51:34Z
DashVox,DashVox,passthrough,42.9,2026-08-27T12:51:34Z
Magic Type AI,Magic Type AI,passthrough,66.7,2026-08-27T12:51:34Z
Easy Peasy AI,Easy Peasy AI,passthrough,66.7,2026-08-27T12:51:34Z
Relevance AI,Relevance AI,passthrough,66.7,2026-08-27T12:51:34Z
Thoughtful AI,Thoughtful AI,passthrough,66.7,2026-08-27T12:51:34Z
Lore,Lore,passthrough,60.0,2026-08-27T12:51:34Z
Rad AI,Rad AI,passthrough,76.9,2026-08-27T12:51:34Z
Resoomer,Resoomer,passthrough,57.1,2026-08-27T12:51:34Z
aicut,aicut,passthrough,57.1,2026-08-27T12:51:34Z
CaseGuard Studio,CaseGuard Studio,passthrough,45.5,2026-08-27T12:51:34Z
Synthesys Studio,Synthesys Studio,passthrough,56.0,2026-08-27T12:51:34Z
Spiritme,Spiritme,passthrough,47.1,2026-08-27T12:51:34Z
Tarotap,Tarotap,passthrough,50.0,2026-08-27T12:51:34Z
REimagine Home,REimagine Home,passthrough,45.5,2026-08-27T12:51:34Z
Simplified,Simplified,passthrough,47.6,2026-08-27T12:51:34Z
Promptomania,Promptomania,passthrough,48.0,2026-08-27T12:51:34Z
AI Quiz Generator by Coursebox,AI Quiz Generator by Coursebox,passthrough,66.7,2026-08-27T12:51:34Z
Langotalk,Langotalk,passthrough,55.6,2026-08-27T12:51:34Z
AI PDF Summarizer by PDF Guru,AI PDF Summarizer by PDF Guru,passthrough,66.7,2026-08-27T12:51:34Z
micro1,micro1,passthrough,53.3,2026-08-27T12:51:34Z
MyMap AI,MyMap AI,passthrough,66.7,2026-08-27T12:51:34Z
Flair AI,Flair AI,passthrough,70.6,2026-08-27T12:51:34Z
Wordsmith,Wordsmith,passthrough,44.4,2026-08-27T12:51:34Z
Mental Models AI,Mental Models AI,passthrough,66.7,2026-08-27T12:51:34Z
Zapier,Zapier,passthrough,66.7,2026-08-27T12:51:34Z
Lorka AI,Lorka AI,passthrough,80.0,2026-08-27T12:51:34Z
Synthesia,Synthesia,exact,100.0,2026-08-27T12:51:34Z
ZenAI,ZenAI,passthrough,72.7,2026-08-27T12:51:34Z
Flot AI,Flot AI,passthrough,66.7,2026-08-27T12:51:34Z
Virtual House Flip,Virtual House Flip,passthrough,42.9,2026-08-27T12:51:34Z
Immersive Translate,Immersive Translate,passthrough,50.0,2026-08-27T12:51:34Z
Dola,Dola,passthrough,60.0,2026-08-27T12:51:34Z
Runway,Runway,exact,100.0,2026-08-27T12:51:34Z
Pizi,Pizi,passthrough,40.0,2026-08-27T12:51:34Z
Uptrends.ai,Uptrends.ai,passthrough,60.0,2026-08-27T12:51:34Z
Riverside,Riverside,passthrough,50.0,2026-08-27T12:51:34Z
vidflux.ai,vidflux.ai,passthrough,57.1,2026-08-27T12:51:34Z
Google Gemini,Google Gemini,passthrough,78.6,2026-08-27T12:51:34Z
Parabola,Parabola,passthrough,50.0,2026-08-27T12:51:34Z
AI Credit Repair,AI Credit Repair,passthrough,66.7,2026-08-27T12:51:34Z
dsgnr AI,dsgnr AI,passthrough,66.7,2026-08-27T12:51:34Z
Doctrina,Doctrina,passthrough,57.1,2026-08-27T12:51:34Z
CureSkin,CureSkin,passthrough,57.1,2026-08-27T12:51:34Z
Thoughtly,Thoughtly,passthrough,47.1,2026-08-27T12:51:34Z
Video Candy,Video Candy,passthrough,50.0,2026-08-27T12:51:34Z
sync.,sync.,passthrough,47.1,2026-08-27T12:51:34Z
Studyable,Studyable,passthrough,57.1,2026-08-27T12:51:34Z
Seeker,Seeker,passthrough,50.0,2026-08-27T12:51:34Z
Gamma,Gamma,passthrough,50.0,2026-08-27T12:51:34Z
Rogo,Rogo,passthrough,50.0,2026-08-27T12:51:34Z
Jimdo,Jimdo,passthrough,42.9,2026-08-27T12:51:34Z
Coool AI,Coool AI,passthrough,66.7,2026-08-27T12:51:34Z
Unreal Speech,Unreal Speech,passthrough,47.6,2026-08-27T12:51:34Z
Comet,Comet,passthrough,54.5,2026-08-27T12:51:34Z
Clay,Clay,passthrough,54.5,2026-08-27T12:51:34Z
Chronicle,Chronicle,passthrough,55.6,2026-08-27T12:51:34Z
Respeecher,Respeecher,passthrough,52.6,2026-08-27T12:51:34Z
NeuBird,NeuBird,passthrough,44.4,2026-08-27T12:51:34Z
JoggAI,JoggAI,passthrough,50.0,2026-08-27T12:51:34Z
Trading Literacy,Trading Literacy,passthrough,51.9,2026-08-27T12:51:34Z
SiteExplainer,SiteExplainer,passthrough,50.0,2026-08-27T12:51:34Z
HiClip,HiClip,passthrough,46.2,2026-08-27T12:51:34Z
Voilà,Voilà,passthrough,40.0,2026-08-27T12:51:34Z
AIEASE,AIEASE,passthrough,66.7,2026-08-27T12:51:34Z
Robopost AI,Robopost AI,passthrough,66.7,2026-08-27T12:51:35Z
Tickclip,Tickclip,passthrough,47.1,2026-08-27T12:51:35Z
OpenClaw,OpenClaw,passthrough,71.4,2026-08-27T12:51:35Z
AudioShake,AudioShake,passthrough,55.6,2026-08-27T12:51:35Z
timeOS,timeOS,passthrough,54.5,2026-08-27T12:51:35Z
Adaptive Insights,Adaptive Insights,passthrough,57.1,2026-08-27T12:51:35Z
Toqan,Toqan,passthrough,54.5,2026-08-27T12:51:35Z
Google AI Studio,Google AI Studio,passthrough,66.7,2026-08-27T12:51:35Z
Gong,Gong,passthrough,50.0,2026-08-27T12:51:35Z
Navos,Navos,passthrough,44.4,2026-08-27T12:51:35Z
Vocal Remover,Vocal Remover,passthrough,44.4,2026-08-27T12:51:35Z
Pixelicious,Pixelicious,passthrough,54.5,2026-08-27T12:51:35Z
Nametastic,Nametastic,passthrough,55.6,2026-08-27T12:51:35Z
goHeather,goHeather,passthrough,70.6,2026-08-27T12:51:35Z
PracTalk,PracTalk,passthrough,52.6,2026-08-27T12:51:35Z
Mixo,Mixo,passthrough,50.0,2026-08-27T12:51:35Z
Vidiofy,Vidiofy,passthrough,47.1,2026-08-27T12:51:35Z
Rose AI,Rose AI,passthrough,71.4,2026-08-27T12:51:35Z
Hippocratic AI,Hippocratic AI,passthrough,66.7,2026-08-27T12:51:35Z
TurboScribe,TurboScribe,passthrough,47.1,2026-08-27T12:51:35Z
LogoFast,LogoFast,passthrough,42.9,2026-08-27T12:51:35Z
Genmo AI,Genmo AI,passthrough,66.7,2026-08-27T12:51:35Z
Wrangle,Wrangle,passthrough,53.3,2026-08-27T12:51:35Z
Stability,Stability AI,alias,100.0,2026-08-27T12:51:35Z
Udio,Udio,passthrough,50.0,2026-08-27T12:51:35Z
Insight7,Insight7,passthrough,50.0,2026-08-27T12:51:35Z
Video Magic,Video Magic,passthrough,50.0,2026-08-27T12:51:35Z
Sema4.ai,Sema4.ai,passthrough,66.7,2026-08-27T12:51:35Z
Tangia,Tangia,passthrough,61.5,2026-08-27T12:51:35Z
RecCloud,RecCloud,passthrough,47.6,2026-08-27T12:51:35Z
EverMemOS,EverMemOS,passthrough,48.0,2026-08-27T12:51:35Z
Cursor,Anysphere,alias,100.0,2026-08-27T12:51:35Z
Moosend,Moosend,passthrough,50.0,2026-08-27T12:51:35Z
Sourcetable,Sourcetable,passthrough,63.6,2026-08-27T12:51:35Z
Guidde,Guidde,passthrough,53.3,2026-08-27T12:51:35Z
Navina,Navina,passthrough,57.1,2026-08-27T12:51:35Z
Vimeo AI,Vimeo AI,passthrough,66.7,2026-08-27T12:51:35Z
HeyGen,HeyGen,passthrough,54.5,2026-08-27T12:51:35Z
SEO GPT,SEO GPT,passthrough,62.5,2026-08-27T12:51:35Z
AI App Generator,AI App Generator,passthrough,66.7,2026-08-27T12:51:35Z
Cades,Cades,passthrough,60.0,2026-08-27T12:51:35Z
Soroco,Soroco,passthrough,57.1,2026-08-27T12:51:35Z
iMean AI,iMean AI,passthrough,66.7,2026-08-27T12:51:35Z
Adobe Premiere Pro,Adobe Premiere Pro,passthrough,42.4,2026-08-27T12:51:35Z
Musicfy,Musicfy,passthrough,42.9,2026-08-27T12:51:35Z
Overjet,Overjet,passthrough,61.5,2026-08-27T12:51:35Z
AI Image Enlarger,AI Image Enlarger,passthrough,66.7,2026-08-27T12:51:35Z
Lily AI,Lily AI,passthrough,66.7,2026-08-27T12:51:35Z
Vidu AI,Vidu AI,passthrough,66.7,2026-08-27T12:51:35Z
Julius AI,Julius AI,passthrough,66.7,2026-08-27T12:51:35Z
Friends & Fables,Friends & Fables,passthrough,50.0,2026-08-27T12:51:35Z
Otter.ai,Otter.ai,passthrough,73.7,2026-08-27T12:51:35Z
FLUX.1,FLUX.1,passthrough,40.0,2026-08-27T12:51:35Z
Rapport,Rapport,passthrough,50.0,2026-08-27T12:51:35Z
Hostinger AI Website Builder,Hostinger AI Website Builder,passthrough,66.7,2026-08-27T12:51:35Z
ES.AI,ES.AI,passthrough,66.7,2026-08-27T12:51:35Z
Transkriptor,Transkriptor,passthrough,47.6,2026-08-27T12:51:35Z
JustCopy.ai,JustCopy.ai,passthrough,77.8,2026-08-27T12:51:35Z
invideo AI,invideo AI,passthrough,66.7,2026-08-27T12:51:35Z
Zarla,Zarla,passthrough,50.0,2026-08-27T12:51:35Z
Noah,Noah,passthrough,50.0,2026-08-27T12:51:35Z
Gen-2 by Runway,Runway,fuzzy,100.0,2026-08-27T12:51:35Z
Singify,Singify,passthrough,50.0,2026-08-27T12:51:35Z
Humaniser,Humaniser,passthrough,55.6,2026-08-27T12:51:35Z
Canva Text to Image,Canva Text to Image,passthrough,48.6,2026-08-27T12:51:35Z
RebeccAI,RebeccAI,passthrough,53.3,2026-08-27T12:51:35Z
TradingLab,TradingLab,passthrough,52.6,2026-08-27T12:51:35Z
Dreamlux,Dreamlux,passthrough,50.0,2026-08-27T12:51:35Z
Trello,Trello,passthrough,46.2,2026-08-27T12:51:35Z
Suno AI Bark,Suno,fuzzy,100.0,2026-08-27T12:51:35Z
Crypto Co-Pilot,Crypto Co-Pilot,passthrough,43.8,2026-08-27T12:51:35Z
Giglish,Giglish,passthrough,37.5,2026-08-27T12:51:35Z
Nova AI App,Nova AI App,passthrough,66.7,2026-08-27T12:51:35Z
ProtectAI,ProtectAI,passthrough,54.5,2026-08-27T12:51:35Z
UpSynth,UpSynth,passthrough,62.5,2026-08-27T12:51:35Z
Kira Systems,Kira Systems,passthrough,73.7,2026-08-27T12:51:35Z
Optimly,Optimly,passthrough,50.0,2026-08-27T12:51:35Z
Numra,Numra,passthrough,66.7,2026-08-27T12:51:35Z
Microsoft Copilot,Microsoft Copilot,passthrough,46.2,2026-08-27T12:51:35Z
Seo Juice,Seo Juice,passthrough,50.0,2026-08-27T12:51:35Z
IamVERA,IamVERA,passthrough,53.3,2026-08-27T12:51:35Z
QashBoard,QashBoard,passthrough,47.1,2026-08-27T12:51:35Z
RehearseNow,RehearseNow,passthrough,47.6,2026-08-27T12:51:35Z
GitMind AI,GitMind AI,passthrough,66.7,2026-08-27T12:51:35Z
Krisp,Krisp,passthrough,42.9,2026-08-27T12:51:35Z
GetFloorPlan,GetFloorPlan,passthrough,47.1,2026-08-27T12:51:35Z
Ren,Ren,passthrough,57.1,2026-08-27T12:51:35Z
Sketch2App,Sketch2App,passthrough,42.1,2026-08-27T12:51:35Z
Danelfin,Danelfin,passthrough,53.3,2026-08-27T12:51:35Z
Assemblio,Assemblio,passthrough,47.6,2026-08-27T12:51:35Z
DreamGift,DreamGift,passthrough,53.3,2026-08-27T12:51:35Z
Profile Picture AI,Profile Picture AI,passthrough,66.7,2026-08-27T12:51:35Z
HiddenLayer,HiddenLayer,passthrough,47.6,2026-08-27T12:51:35Z
Magnific AI,Magnific AI,passthrough,66.7,2026-08-27T12:51:35Z
Audioread,Audioread,passthrough,62.5,2026-08-27T12:51:35Z
Nanonets,Nanonets,passthrough,53.3,2026-08-27T12:51:35Z
Coralflavor,Coralflavor,passthrough,47.1,2026-08-27T12:51:35Z
Bluesheets,Bluesheets,passthrough,46.2,2026-08-27T12:51:35Z
Amelia,Amelia,passthrough,53.3,2026-08-27T12:51:35Z
Zing Coach,Zing Coach,passthrough,54.5,2026-08-27T12:51:35Z
Photo AI,Photo AI,passthrough,66.7,2026-08-27T12:51:35Z
AI2sql,AI2sql,passthrough,60.0,2026-08-27T12:51:35Z
EtsyGenerator,EtsyGenerator,passthrough,50.0,2026-08-27T12:51:35Z
Referent,Referent,passthrough,44.4,2026-08-27T12:51:35Z
Stimuler,Stimuler,passthrough,61.5,2026-08-27T12:51:35Z
Tekmatix,Tekmatix,passthrough,53.3,2026-08-27T12:51:35Z
Vidnix.AI,Vidnix.AI,passthrough,61.5,2026-08-27T12:51:35Z
Elai.io,Elai.io,passthrough,60.0,2026-08-27T12:51:35Z
GravityWrite,GravityWrite,passthrough,50.0,2026-08-27T12:51:35Z
Ovom Care,Ovom Care,passthrough,55.6,2026-08-27T12:51:35Z
Storyboard Hero,Storyboard Hero,passthrough,43.5,2026-08-27T12:51:35Z
Carly AI,Carly AI,passthrough,75.0,2026-08-27T12:51:35Z
GeoEvident,GeoEvident,passthrough,52.6,2026-08-27T12:51:35Z
AI Trip Planner,AI Trip Planner,passthrough,66.7,2026-08-27T12:51:35Z
TasteGPT,TasteGPT,passthrough,61.5,2026-08-27T12:51:35Z
Mobirise AI Website Builder,Mobirise AI Website Builder,passthrough,66.7,2026-08-27T12:51:35Z
Vic.ai,Vic.ai,passthrough,80.0,2026-08-27T12:51:35Z
Asseti,Asseti,passthrough,57.1,2026-08-27T12:51:35Z
Snackz AI,Snackz AI,passthrough,66.7,2026-08-27T12:51:35Z
Sprout Social,Sprout Social,passthrough,45.5,2026-08-27T12:51:35Z
SketchBubble AI,SketchBubble AI,passthrough,66.7,2026-08-27T12:51:35Z
PlayHT,PlayHT,passthrough,53.3,2026-08-27T12:51:35Z
PrometAI,PrometAI,passthrough,57.1,2026-08-27T12:51:35Z
WriteHybrid,WriteHybrid,passthrough,45.5,2026-08-27T12:51:35Z
JobJump,JobJump,passthrough,44.4,2026-08-27T12:51:35Z
Whacka,Whacka,passthrough,54.5,2026-08-27T12:51:35Z
Factory,Factory,passthrough,57.1,2026-08-27T12:51:35Z
OSS Insight,OSS Insight,passthrough,51.9,2026-08-27T12:51:35Z
Taplio,Taplio,passthrough,53.3,2026-08-27T12:51:35Z
Lovable,Lovable,passthrough,50.0,2026-08-27T12:51:35Z
Mimica,Mimica,passthrough,50.0,2026-08-27T12:51:35Z
SnapHeadshots,SnapHeadshots,passthrough,48.0,2026-08-27T12:51:35Z
Wondershare Repairit,Wondershare Repairit,passthrough,48.3,2026-08-27T12:51:35Z
vidIQ,vidIQ,passthrough,35.3,2026-08-27T12:51:35Z
Social Catfish Reverse Image Search,Social Catfish Reverse Image Search,passthrough,39.2,2026-08-27T12:51:35Z
Grok,Grok,passthrough,75.0,2026-08-27T12:51:35Z
Zonka Feedback,Zonka Feedback,passthrough,44.4,2026-08-27T12:51:35Z
Stylar,Stylar,passthrough,53.3,2026-08-27T12:51:35Z
WOXO - Idea to Videos,WOXO - Idea to Videos,passthrough,43.2,2026-08-27T12:51:35Z
Coursera,Coursera,passthrough,71.4,2026-08-27T12:51:35Z
crawler.sh,crawler.sh,passthrough,55.6,2026-08-27T12:51:35Z
Wispr Flow,Wispr Flow,passthrough,44.4,2026-08-27T12:51:35Z
Pixelcut,Pixelcut,passthrough,50.0,2026-08-27T12:51:35Z
TheB.AI,TheB.AI,passthrough,66.7,2026-08-27T12:51:35Z
Wisdomise,Wisdomise,passthrough,47.1,2026-08-27T12:51:35Z
crewAI,crewAI,passthrough,61.5,2026-08-27T12:51:35Z
ColdConvert,ColdConvert,passthrough,58.8,2026-08-27T12:51:35Z
Jigso,Jigso,passthrough,50.0,2026-08-27T12:51:35Z
FaceCheck ID,FaceCheck ID,passthrough,50.0,2026-08-27T12:51:35Z
Neurons AI,Neurons AI,passthrough,66.7,2026-08-27T12:51:35Z
Anaplan,Anaplan,passthrough,58.8,2026-08-27T12:51:35Z
LookBook AI,LookBook AI,passthrough,66.7,2026-08-27T12:51:35Z
RNDRS,RNDRS,passthrough,46.2,2026-08-27T12:51:35Z
Shakespeare,Shakespeare,passthrough,60.0,2026-08-27T12:51:35Z
SeaArt AI,SeaArt AI,passthrough,66.7,2026-08-27T12:51:35Z
EchoFox,EchoFox,passthrough,46.2,2026-08-27T12:51:35Z
Pixlr: AI-Powered Editor,Pixlr: AI-Powered Editor,passthrough,66.7,2026-08-27T12:51:35Z
NovelAI,NovelAI,passthrough,61.5,2026-08-27T12:51:35Z
Hydra,Hydra,passthrough,54.5,2026-08-27T12:51:35Z
Autodraw,Autodraw,passthrough,47.1,2026-08-27T12:51:35Z
Lazyeyefix AI Photo Editor,Lazyeyefix AI Photo Editor,passthrough,66.7,2026-08-27T12:51:35Z
Mubert,Mubert,passthrough,54.5,2026-08-27T12:51:35Z
Solvea,Solvea,passthrough,61.5,2026-08-27T12:51:35Z
PlayArti,PlayArti,passthrough,57.1,2026-08-27T12:51:35Z
MyReport,MyReport,passthrough,47.1,2026-08-27T12:51:35Z
Stable Diffusion Web,Stable Diffusion Web,passthrough,43.8,2026-08-27T12:51:35Z
Estimatic AI,Estimatic AI,passthrough,66.7,2026-08-27T12:51:35Z
HitPaw FotorPea,HitPaw FotorPea,passthrough,47.6,2026-08-27T12:51:35Z
CoreLogic,CoreLogic,passthrough,55.6,2026-08-27T12:51:35Z
Lebesgue,Lebesgue,passthrough,47.1,2026-08-27T12:51:35Z
Shownotes,Shownotes,passthrough,55.6,2026-08-27T12:51:35Z
Flint,Flint,passthrough,53.3,2026-08-27T12:51:35Z
Akool,Akool,passthrough,40.0,2026-08-27T12:51:35Z
MagicSlides,MagicSlides,passthrough,52.6,2026-08-27T12:51:35Z
Videomaker by Invideo AI,Videomaker by Invideo AI,passthrough,66.7,2026-08-27T12:51:35Z
KaneAI,KaneAI,passthrough,61.5,2026-08-27T12:51:35Z
BrandJet,BrandJet,passthrough,61.5,2026-08-27T12:51:35Z
GovDash,GovDash,passthrough,50.0,2026-08-27T12:51:35Z
Aleph Alpha,Aleph Alpha,exact,100.0,2026-08-27T12:51:35Z
AI Meal Planner,AI Meal Planner,passthrough,66.7,2026-08-27T12:51:35Z
Bella,Bella,passthrough,53.3,2026-08-27T12:51:35Z
DevRev,DevRev,passthrough,50.0,2026-08-27T12:51:35Z
Craiyon,Craiyon,passthrough,57.1,2026-08-27T12:51:35Z
AutoGPT,AutoGPT,passthrough,55.6,2026-08-27T12:51:35Z
Workleap,Workleap,passthrough,52.6,2026-08-27T12:51:35Z
Intercom,Intercom,passthrough,62.5,2026-08-27T12:51:35Z
Wondershare Filmora,Wondershare Filmora,passthrough,42.9,2026-08-27T12:51:35Z
BrandCrowd,BrandCrowd,passthrough,44.4,2026-08-27T12:51:35Z
GPTGO,GPTGO,passthrough,44.4,2026-08-27T12:51:35Z
Paintit,Paintit,passthrough,52.6,2026-08-27T12:51:35Z
Jetwriter AI,Jetwriter AI,passthrough,66.7,2026-08-27T12:51:35Z
Sider,Sider,passthrough,54.5,2026-08-27T12:51:35Z
